ID,Upvotes
366953,227.5
71864,78.6
141692,32.6
316833,18.0
440445,364.3
3514,10.6
331420,20.5
406540,87.5
227379,54.8
331687,12.5
32784,10.8
470377,44.0
338103,15.1
29883,321.9
218228,28.5
70945,759.6
14328,35.4
259947,131.6
346378,493.0
384621,17.8
425418,28.5
131224,124.6
365408,42.7
218626,19.4
331722,28.8
310969,40.9
307391,145.9
14072,241.5
238694,6.0
213841,13.8
165258,176.1
123606,33.7
214062,66.3
279450,556.9
178546,10.7
358455,21.9
386308,6.9
155592,30.9
200090,27.8
127308,9.0
449766,16.3
223688,561.4
442443,6.4
451259,291.0
87024,8.1
207529,142.3
196568,10.7
38258,166.8
387275,1.8
86152,9.8
302142,148.7
401268,310.2
307187,3.2
252388,24.7
844,6.2
105707,10.0
230309,222.7
362573,46.3
173751,120.2
349049,10.1
310466,17.7
205786,140.6
208358,32.7
440214,41.6
41343,27.8
427741,217.3
355001,69.8
137708,38.1
146326,404.0
220889,48.6
205742,1277.5
28737,41.1
292474,6.7
349149,3.9
46230,1.4
303160,68.5
292638,56.9
210116,11.1
55900,11.8
91135,20.1
452177,284.4
170628,8.1
237099,19.8
166022,30.0
175687,61.6
392847,16.7
454964,6.1
259259,20.1
289148,215.8
311134,53.0
62551,641.8
336258,11.6
468049,45.1
22189,20.4
264888,20.0
451615,359.9
85004,21.7
375246,76.5
60204,22.6
126097,5.8
182425,6262.6
449937,51.9
442637,11374.3
378184,288.9
357584,369.6
383054,50.6
299871,11.7
152764,9.0
22064,14.1
416791,22.1
440686,81.1
44537,16.1
80203,8.7
81726,13.1
440068,214.8
109276,33.1
120567,6.4
169520,254.4
84443,5.8
139139,41.4
346145,31.7
75219,13.3
244042,36.9
6992,13.7
337741,7.6
20091,706.9
420761,97.2
101501,2.7
408598,704.6
306979,4.4
50260,13.9
21088,18.3
462951,9.3
196903,7.8
155361,199.8
51756,10.9
192022,6.2
384071,2.6
173305,569.8
56449,15.4
172164,15.5
341063,24.9
431990,45.9
342757,120.5
335181,1.7
121613,10.2
40216,74.4
116940,85.3
351719,5.8
436421,3.4
173164,19.2
362350,6.8
357892,320.1
335957,47.8
192010,1.0
407412,11.4
19359,12.5
82078,48.3
375709,2206.2
122137,19.6
244661,34.8
434900,92.2
54220,1.3
425162,126.5
453118,43.8
373873,2.3
238415,493.4
53501,117.2
67918,19.0
68982,1.3
81980,65.6
332015,54.0
171470,11.8
24209,2.7
396455,139.9
236372,86.8
29062,213.3
248733,10.2
43097,10.4
401490,51.7
181282,21.9
285264,24.0
386230,3.8
262238,8.5
226323,18.3
224589,75.0
61,5.7
120331,7.4
59519,6.7
263459,423.6
188774,1237.3
157423,27.9
204323,613.3
94807,3.7
130112,35.9
298030,215.6
361994,2.0
242867,62.1
345301,6.3
404296,0.9
403325,7.2
78570,9.5
247119,85.7
433907,1525.9
51709,10.2
256743,10.0
132448,32.1
429148,13.0
384840,2.3
434864,238.3
317954,114.9
452061,23.9
85212,4.3
373284,1.8
284208,211.8
233976,40.0
105691,1076.4
375077,220.5
26720,33.8
70683,84.6
281194,18.9
390953,93.0
59608,411.7
341707,19.4
403654,53.8
209246,71.7
295413,17.2
379392,389.8
261533,25.2
130134,135.8
137990,101.9
413320,69.8
468459,101.1
189150,18.9
381154,8.6
373043,15.0
231677,6062.2
438093,38.1
443706,35.5
230906,63.9
138183,11.9
78231,34.5
70795,32.9
283674,14.9
144543,27.5
213929,42.4
458437,1030.1
279629,43.8
284422,21.1
29532,10.5
409963,68.7
325099,127.7
409635,612.9
18156,7.4
355380,13.6
412081,66.3
363354,38.8
354537,296.1
209720,11.2
150078,145.1
31479,87.7
455028,26.4
104579,437.5
102986,43.0
60804,3.0
361348,135.7
234054,7182.4
212541,6.2
452107,8.3
227926,9.1
340913,7.1
316690,153.7
223984,23.1
193558,1440.0
155138,522.3
36080,37.0
355444,71.0
310281,67.3
79606,125.4
16325,643.9
460657,280.1
159813,42.5
390567,86.2
340325,19.8
85871,23.1
360723,7261.7
200645,13.1
180440,260.2
9158,50.5
295966,125.3
131958,210.5
168051,165.8
246426,3.5
195598,4.5
6177,19.7
10574,3.6
181076,29.2
170742,10.0
123659,38.2
333658,5.5
293962,38.5
423136,200.3
90343,168.3
32867,98.9
143820,174.4
16783,79.6
286877,566.7
422113,14.6
42145,6.2
377322,8.0
232647,6.3
320851,45.5
74336,579.2
121520,58.6
46307,1.3
137345,10.7
426975,16.4
126697,4.4
188080,13.6
399469,37.8
132942,29.5
199602,424.4
335704,42.8
20602,6.2
458202,442.8
74016,68.7
374627,342.1
169941,73.5
267769,120.6
108489,3.8
51782,10.9
160092,32.5
152160,92.6
162504,19.2
286106,114.4
331480,30.7
451655,48.9
311726,14.1
199325,123.7
24806,38.1
237104,3.8
252830,73.5
273090,14.3
115172,9.0
28445,94.9
153732,97.9
40870,1.1
212207,52.1
411175,6.5
213177,16.6
149578,1.6
329243,24.5
26565,549.2
242893,523.4
163630,49.3
11802,0.4
434228,513.2
277388,882.1
116623,3542.0
12726,29.5
92182,5.0
308356,2.4
342196,19.3
435921,59.8
117479,1380.2
20084,23.8
110267,1217.5
211485,11.6
52505,16.9
105490,38.6
400015,29.0
376091,11.2
169994,7.9
447639,31.8
371187,4.5
90597,4.0
142364,1.8
337332,285.4
381967,428.7
333824,46.7
148970,46.7
164926,58.3
283475,115.3
385738,64.6
351580,15.7
252511,60.4
74994,15.6
181215,36.2
175240,16.4
326299,19.1
147014,61.3
43,20.5
168852,24.3
139899,150.4
92827,41.8
165023,8.9
65135,131.6
438924,6.2
124065,73.4
468868,9.7
395456,6.9
80156,430.3
279666,83.5
255179,245.8
30329,13.0
351240,14.1
330034,147.0
12342,22.8
327306,108.4
110149,3.2
368744,14.7
96337,148.5
343321,4.2
79366,33.9
199920,10.1
22910,140.1
446787,32.9
367361,39.3
272292,25.3
333092,8.9
192137,862.9
82097,135.6
98490,2077.0
114358,162.2
405496,20.7
464141,13.0
34565,11.8
446335,32.1
38895,98.6
326932,180.4
461640,5.7
386626,12.1
217886,28.3
321498,13.2
247211,3905.4
25731,108.3
202584,20.5
99937,35.5
92509,23.7
306100,48.1
45223,29.4
72671,29.4
55616,53.8
398035,3.6
154437,47.9
468623,494.5
316964,10.6
232389,413.4
208692,20.7
64213,21.5
204826,13.2
296884,119.0
387856,1.7
52733,39.6
433114,88.9
57249,120.2
162316,12.0
422712,0.3
444109,1.9
349477,300.1
207955,5.7
128102,151.4
411957,10.6
294032,23.7
223753,18.1
357921,174.0
73844,2.6
365578,28.0
380793,37.2
185815,156.6
221374,184.7
218609,27.3
291475,2.7
237002,39.9
279871,44.4
232371,6.6
168273,23.3
